"sessionId (text)","page (text)","latency (number)","timeOnPage (number)"
37c357dc,explore,221,123.373
b8793ac8,query,17,311.345
37c4e20d,index,9,36.618
3886df93,explore,62,117.060
b93623f6,explore,22,194.059
38db6d7a,query,183,289.832
b956c43b,welcome,7,26.807
39083bce,explore,28,43.535
b7096a1b,query,51,310.073
387a1bb9,explore,22,69.062
b7d66c06,explore,226,159.284
37f8075c,query,17,351.115
38b1d420,query,33,422.370
38e4b42d,explore,102,77.719
388853bd,index,4,55.695
359b733f,explore,173,125.673
b7e37343,index,4,46.142
38a7f199,welcome,20,44.414
38e4b42d,query,43,387.618
38362dc7,explore,40,84.798
390d47b7,explore,109,60.297
b90dcc0e,welcome,89,29.815
381057b5,query,19,368.990
39083bce,explore,86,105.767
b818a1d2,explore,94,146.879
38a654ac,explore,280,164.213
39385215,explore,164,86.432
3958d084,query,71,445.041
38abd294,welcome,34,30.435
b99795ae,,21,
38841a01,query,20,394.723
38fa725b,index,18,69.019
b85d47a6,explore,69,108.513
38965f23,query,45,346.693
38932b0c,query,78,332.146
3950974b,query,17,351.687
b659c57c,welcome,37,26.811
b659c57c,query,17,413.341
3898c996,index,7,50.132
b8c8a3e0,,23,
b84594ca,explore,79,159.147
b8e095e6,welcome,7,21.697
b818a1d2,query,17,315.534
359b733f,query,233,425.073
38563a7f,,38,
38a6eb8d,index,4,42.452
b943b405,welcome,41,32.860
38b0092b,index,68,69.479
39083bce,welcome,19,20.641
b8948bbd,,164,
b7b8836b,welcome,7,24.132
3935a21e,explore,292,138.344
b929d638,welcome,70,25.482
38f0d551,,33,
b8bbc92e,query,39,445.289
b8447d62,query,65,395.118
b8382c2e,welcome,7,33.250
b8a1cb67,query,46,387.906
37b9d3d1,query,24,432.731
b7d8daa1,query,17,354.392
37f8dca3,explore,332,93.725
b62ec66f,query,492,439.210
3925ba95,explore,22,148.188
388a2967,explore,83,137.188
b988c693,index,13,54.898
b8688818,query,143,401.198
38697116,index,14,55.837
b878fc6f,explore,34,115.213
38aa9764,explore,175,161.023
b5503f5d,query,547,476.639
b94586d6,query,75,355.402
b8cac1a5,,23,
359b733f,explore,22,116.775
391aba67,explore,22,119.322
b726a7b0,explore,24,92.606
b7d66c06,query,155,350.967
b601d89f,welcome,37,28.675
b8a3e272,welcome,114,34.922
b8ef90e3,query,99,399.081
b88d3fab,explore,26,60.085
b829157d,,118,
b9649b34,query,40,419.338
b93623f6,explore,114,116.555
3828a5b7,query,241,289.080
b8bb093a,query,324,315.957
38e8f839,query,59,417.163
b9001574,query,17,384.362
b8bb093a,explore,74,101.302
b841c8dc,welcome,7,30.781
b84b1ec3,query,34,407.593
37fc47bb,query,163,462.647
b829157d,index,22,36.890
39065b99,query,122,382.903
b88f1036,explore,431,95.215
388dafc8,index,4,25.100
b818a1d2,query,129,313.640
38ec0790,explore,283,96.172
b84594ca,explore,115,115.643
b8041265,,33,
b787821d,explore,166,124.976
38f57621,welcome,7,29.097
382cdde5,explore,102,98.230
b93623f6,,105,
37ad6b5d,explore,78,99.021
3786d738,explore,22,65.305
b804cee1,query,26,316.737
b90eaa9e,explore,49,91.094
37c357dc,query,244,402.449
38505b86,query,17,359.290
b8122da4,query,17,407.918
b62ec66f,query,45,479.546
38156a17,welcome,71,24.284
374c2ca8,welcome,7,26.961
b85e23f1,welcome,23,28.385
b7f27ed9,query,17,295.830
384bd788,query,17,395.969
b894aeb7,,25,
38b245f2,query,198,344.301
387a1bb9,query,46,371.181
b7112974,query,85,464.538
3886df93,explore,77,82.308
b87c1d9b,query,178,297.123
37c2ec4e,,88,
39210a9f,query,59,347.636
b8793ac8,explore,50,170.754
38257669,query,285,339.754
b8877362,query,24,386.231
3958d084,,138,
38e6b63d,query,17,349.588
3815097f,query,77,381.224
b98ebec4,explore,764,148.104
390d47b7,,17,
b8b1e3af,query,66,417.039
b98ebec4,query,34,383.000
b84b1ec3,query,72,325.017
37b9d3d1,query,22,413.996
394d0a93,explore,55,41.422
b81d2775,explore,449,92.211
38fa725b,explore,22,133.059
b8a12480,welcome,72,25.257
3887c4bf,welcome,51,21.168
b86d5dbd,query,54,297.768
b8f4d4c6,explore,25,37.886
38a6eb8d,welcome,7,40.077
363a51ea,query,17,466.473
b89a2926,index,14,44.604
38902478,,10,
b7ab3227,explore,169,170.021
b8a9be6c,index,9,36.558
38b75cdf,query,131,368.238
359b733f,query,35,390.722
3831c504,explore,131,15.785
37c2ec4e,query,86,267.959
b818fcb7,explore,143,118.671
b9033768,welcome,87,23.177
b93623f6,query,70,316.676
38257ba4,welcome,39,38.900
38b94579,welcome,102,20.661
b90fff3f,query,17,409.162
36df5f4d,welcome,16,29.123
b7e37343,welcome,14,30.282
b90d573c,query,47,392.641
b80eb039,query,137,456.571
37116eb3,welcome,35,31.505
b929d638,query,62,458.287
38916f1a,query,200,421.962
37d1fe69,explore,114,170.409
b89c9a7d,welcome,14,33.893
b988c693,query,78,369.114
388ec167,query,28,365.600
b7ab0e84,query,153,395.931
b8a3e272,explore,45,55.932
b9810c54,index,36,64.256
38d55191,,10,
38bad002,,21,
37c357dc,explore,98,109.497
b8793ac8,welcome,7,39.625
b90998fb,welcome,9,26.487
b8c4aed5,index,44,49.524
b8a5da63,query,30,383.400
b7b8836b,query,155,319.057
3831c504,,86,
3875bcff,welcome,30,45.467
b8e95904,index,7,54.942
b943b405,explore,190,105.273
3925ba95,query,17,391.925
38156a17,query,113,382.522
b8be6444,query,17,400.118
b88d3fab,explore,214,77.548
b8ef90e3,welcome,25,23.217
38e6b63d,,153,
b89767e9,explore,41,138.489
39946190,explore,108,91.036
38a8053a,welcome,15,29.721
b86e62d2,query,52,383.357
b8817b4a,query,26,379.076
38ef1e28,welcome,80,45.035
b7e15902,query,21,431.689
b9441603,query,146,372.550
b82434b6,query,17,328.030
393dfc60,query,230,336.404
35af9b86,,11,
3807084e,explore,141,171.820
b6101a3d,explore,112,31.950
b7112974,explore,785,85.075
b90eaa9e,query,35,383.159
37b77952,explore,22,63.961
390bfc6f,query,186,208.777
b959f35a,welcome,45,40.591
3900f216,explore,27,87.156
34ee03b8,welcome,64,42.668
3874ae7f,explore,64,27.765
38d5f87c,explore,117,99.687
b8877362,explore,22,103.757
b8658d44,query,80,390.458
384246ca,query,96,409.531
38b1d420,welcome,36,32.224
38b8786a,query,70,440.504
387598a7,explore,22,179.107
390dff6a,explore,51,83.439
38ef1e28,explore,22,83.702
36955bd2,,181,
b829157d,explore,106,88.962
b90bbb27,welcome,20,37.674
39069c3a,query,275,367.143
38a7f199,explore,154,121.346
b90eaa9e,query,119,370.200
b84aefa1,query,115,377.442
38916f1a,,25,
b8c8a3e0,query,126,356.780
38932b0c,explore,126,132.608
38973351,explore,22,103.399
b905f723,,11,
b887e1af,welcome,22,37.264
b7b8836b,explore,40,122.048
38697116,welcome,7,22.365
38d55191,explore,123,145.743
3886df93,explore,247,103.470
b62ec66f,explore,84,120.253
b8a687ac,query,89,478.121
b89c9a7d,query,17,418.087
38973351,query,26,356.163
388a2967,welcome,41,44.315
37116eb3,welcome,90,28.217
b90d7af7,query,277,447.688
b8a9be6c,explore,22,29.028
39769f6a,welcome,24,32.075
3872fffb,welcome,7,20.380
b90b86fa,query,390,475.273
3910d2e4,explore,87,144.674
363a51ea,,152,
38d64a2e,explore,38,188.296
b93623f6,query,295,338.242
38563a7f,query,145,445.638
b8d33c36,,10,
